Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
Apache-Zxing,SM1,UM1,2.56E-12,67,49,0,2,Y
Apache-Zxing,SM1,UM2,1.97E-09,80,36,0,2,Y
Apache-Zxing,SM1,UM3,1.58E-14,57,59,0,2,Y
Apache-Zxing,SM1,UM4,1.54E-08,84,32,0,2,Y
Apache-Zxing,SM2,UM1,9.24E-13,16,0,51,51,Y
Apache-Zxing,SM2,UM2,1.24E-15,16,0,64,38,Y
Apache-Zxing,SM2,UM3,1.52E-10,16,0,41,61,Y
Apache-Zxing,SM2,UM4,1.63E-16,16,0,68,34,Y
Apache-Zxing,SM3,UM1,3.41E-07,67,26,0,25,Y
Apache-Zxing,SM3,UM2,0.000311491,80,13,0,25,Y
Apache-Zxing,SM3,UM3,1.97E-09,57,36,0,25,Y
Apache-Zxing,SM3,UM4,0.002699796,84,9,0,25,Y
Apache-Zxing,SM4,UM1,2.14E-10,21,2,46,49,Y
Apache-Zxing,SM4,UM2,2.92E-13,21,2,59,36,Y
Apache-Zxing,SM4,UM3,5.36E-07,17,6,40,55,Y
Apache-Zxing,SM4,UM4,3.85E-14,21,2,63,32,Y
Apache-Zxing,SM5,UM1,5.55E-13,15,0,52,51,Y
Apache-Zxing,SM5,UM2,7.49E-16,15,0,65,38,Y
Apache-Zxing,SM5,UM3,9.13E-11,15,0,42,61,Y
Apache-Zxing,SM5,UM4,9.85E-17,15,0,69,34,Y
Apache-Zxing,SM6,UM1,1.24E-15,3,0,64,51,Y
Apache-Zxing,SM6,UM2,1.71E-18,3,0,77,38,Y
Apache-Zxing,SM6,UM3,2.00E-13,3,0,54,61,Y
Apache-Zxing,SM6,UM4,2.26E-19,3,0,81,34,Y
Apache-Zxing,SM7,UM1,9.24E-13,16,0,51,51,Y
Apache-Zxing,SM7,UM2,1.24E-15,16,0,64,38,Y
Apache-Zxing,SM7,UM3,9.84E-10,14,2,43,59,Y
Apache-Zxing,SM7,UM4,1.63E-16,16,0,68,34,Y
Apache-Zxing,SM8,UM1,2.62E-14,9,0,58,51,Y
Apache-Zxing,SM8,UM2,3.57E-17,9,0,71,38,Y
Apache-Zxing,SM8,UM3,4.26E-12,9,0,48,61,Y
Apache-Zxing,SM8,UM4,4.71E-18,9,0,75,34,Y
Apache-Safe,SM1,UM1,0.083264517,16,3,0,3,N
Apache-Safe,SM1,UM2,0.157299207,17,2,0,3,N
Apache-Safe,SM1,UM3,0.045500264,15,4,0,3,Y
Apache-Safe,SM1,UM4,0.157299207,17,2,0,3,N
Apache-Safe,SM2,UM1,0.008150972,9,0,7,6,Y
Apache-Safe,SM2,UM2,0.004677735,9,0,8,5,Y
Apache-Safe,SM2,UM3,0.014305878,9,0,6,7,Y
Apache-Safe,SM2,UM4,0.004677735,9,0,8,5,Y
Apache-Safe,SM3,UM1,0.083264517,16,3,0,3,N
Apache-Safe,SM3,UM2,0.157299207,17,2,0,3,N
Apache-Safe,SM3,UM3,0.045500264,15,4,0,3,Y
Apache-Safe,SM3,UM4,0.157299207,17,2,0,3,N
Apache-Safe,SM4,UM1,0.004677735,8,0,8,6,Y
Apache-Safe,SM4,UM2,0.002699796,8,0,9,5,Y
Apache-Safe,SM4,UM3,0.008150972,8,0,7,7,Y
Apache-Safe,SM4,UM4,0.002699796,8,0,9,5,Y
Apache-Safe,SM5,UM1,0.014305878,10,0,6,6,Y
Apache-Safe,SM5,UM2,0.008150972,10,0,7,5,Y
Apache-Safe,SM5,UM3,0.058781721,9,1,6,6,N
Apache-Safe,SM5,UM4,0.008150972,10,0,7,5,Y
Apache-Safe,SM6,UM1,0.000911119,5,0,11,6,Y
Apache-Safe,SM6,UM2,0.000532006,5,0,12,5,Y
Apache-Safe,SM6,UM3,0.001565402,5,0,10,7,Y
Apache-Safe,SM6,UM4,0.000532006,5,0,12,5,Y
Apache-Safe,SM7,UM1,0.002699796,7,0,9,6,Y
Apache-Safe,SM7,UM2,0.001565402,7,0,10,5,Y
Apache-Safe,SM7,UM3,0.004677735,7,0,8,7,Y
Apache-Safe,SM7,UM4,0.001565402,7,0,10,5,Y
Apache-Safe,SM8,UM1,0.004677735,8,0,8,6,Y
Apache-Safe,SM8,UM2,0.002699796,8,0,9,5,Y
Apache-Safe,SM8,UM3,0.008150972,8,0,7,7,Y
Apache-Safe,SM8,UM4,0.002699796,8,0,9,5,Y
Zxing-Apache,SM1,UM1,2.17E-08,18,8,51,21,Y
Zxing-Apache,SM1,UM2,1.34E-08,18,8,52,20,Y
Zxing-Apache,SM1,UM3,0.000265707,15,11,36,36,Y
Zxing-Apache,SM1,UM4,4.67E-09,19,7,52,20,Y
Zxing-Apache,SM2,UM1,4.61E-14,1,4,68,25,Y
Zxing-Apache,SM2,UM2,2.79E-14,1,4,69,24,Y
Zxing-Apache,SM2,UM3,3.85E-10,1,4,50,43,Y
Zxing-Apache,SM2,UM4,1.69E-14,1,4,70,23,Y
Zxing-Apache,SM3,UM1,9.62E-05,51,1,18,28,Y
Zxing-Apache,SM3,UM2,5.70E-05,51,1,19,27,Y
Zxing-Apache,SM3,UM3,0.841480581,39,13,12,34,N
Zxing-Apache,SM3,UM4,3.38E-05,51,1,20,26,Y
Zxing-Apache,SM4,UM1,2.34E-07,15,12,54,17,Y
Zxing-Apache,SM4,UM2,9.63E-08,16,11,54,17,Y
Zxing-Apache,SM4,UM3,0.003609347,5,22,46,25,Y
Zxing-Apache,SM4,UM4,3.80E-08,17,10,54,17,Y
Zxing-Apache,SM5,UM1,3.06E-12,2,7,67,22,Y
Zxing-Apache,SM5,UM2,1.87E-12,2,7,68,21,Y
Zxing-Apache,SM5,UM3,3.49E-08,1,8,50,39,Y
Zxing-Apache,SM5,UM4,5.70E-13,3,6,68,21,Y
Zxing-Apache,SM6,UM1,0.007632882,66,14,3,15,Y
Zxing-Apache,SM6,UM2,0.012419331,67,13,3,15,Y
Zxing-Apache,SM6,UM3,4.46E-07,49,31,2,16,Y
Zxing-Apache,SM6,UM4,0.020136752,68,12,3,15,Y
Zxing-Apache,SM7,UM1,0.248213079,65,8,4,21,N
Zxing-Apache,SM7,UM2,0.405380556,65,8,5,20,N
Zxing-Apache,SM7,UM3,7.10E-06,50,23,1,24,Y
Zxing-Apache,SM7,UM4,0.563702862,66,7,5,20,N
Zxing-Apache,SM8,UM1,3.94E-05,36,7,33,22,Y
Zxing-Apache,SM8,UM2,2.48E-05,36,7,34,21,Y
Zxing-Apache,SM8,UM3,0.23818495,24,19,27,28,N
Zxing-Apache,SM8,UM4,9.55E-06,37,6,34,21,Y
Zxing-Safe,SM1,UM1,0.000311491,3,0,13,6,Y
Zxing-Safe,SM1,UM2,0.000182811,3,0,14,5,Y
Zxing-Safe,SM1,UM3,0.001340641,2,1,13,6,Y
Zxing-Safe,SM1,UM4,0.000182811,3,0,14,5,Y
Zxing-Safe,SM2,UM1,1,15,1,1,5,N
Zxing-Safe,SM2,UM2,0.563702862,15,1,2,4,N
Zxing-Safe,SM2,UM3,0.563702862,14,2,1,5,N
Zxing-Safe,SM2,UM4,0.563702862,15,1,2,4,N
Zxing-Safe,SM3,UM1,0.003892417,5,1,11,5,Y
Zxing-Safe,SM3,UM2,0.000911119,6,0,11,5,Y
Zxing-Safe,SM3,UM3,0.012554919,4,2,11,5,Y
Zxing-Safe,SM3,UM4,0.000911119,6,0,11,5,Y
Zxing-Safe,SM4,UM1,0.179712495,12,1,4,5,N
Zxing-Safe,SM4,UM2,0.102470435,12,1,5,4,N
Zxing-Safe,SM4,UM3,0.414216178,11,2,4,5,N
Zxing-Safe,SM4,UM4,0.102470435,12,1,5,4,N
Zxing-Safe,SM5,UM1,0.011412036,7,1,9,5,Y
Zxing-Safe,SM5,UM2,0.006655605,7,1,10,4,Y
Zxing-Safe,SM5,UM3,0.019630657,7,1,8,6,Y
Zxing-Safe,SM5,UM4,0.006655605,7,1,10,4,Y
Zxing-Safe,SM6,UM1,0.317310508,16,1,0,5,N
Zxing-Safe,SM6,UM2,,17,0,0,5,N
Zxing-Safe,SM6,UM3,0.157299207,15,2,0,5,N
Zxing-Safe,SM6,UM4,,17,0,0,5,N
Zxing-Safe,SM7,UM1,0.414216178,12,2,4,4,N
Zxing-Safe,SM7,UM2,0.179712495,13,1,4,4,N
Zxing-Safe,SM7,UM3,0.654720846,12,2,3,5,N
Zxing-Safe,SM7,UM4,0.179712495,13,1,4,4,N
Zxing-Safe,SM8,UM1,0.025347319,11,0,5,6,Y
Zxing-Safe,SM8,UM2,0.014305878,11,0,6,5,Y
Zxing-Safe,SM8,UM3,0.102470435,10,1,5,6,N
Zxing-Safe,SM8,UM4,0.014305878,11,0,6,5,Y
Safe-Apache,SM1,UM1,0.000358523,39,8,30,21,Y
Safe-Apache,SM1,UM2,0.000230553,39,8,31,20,Y
Safe-Apache,SM1,UM3,0.527089257,29,18,22,29,N
Safe-Apache,SM1,UM4,6.33E-05,41,6,30,21,Y
Safe-Apache,SM2,UM1,1,68,1,1,28,N
Safe-Apache,SM2,UM2,0.563702862,68,1,2,27,N
Safe-Apache,SM2,UM3,5.70E-05,50,19,1,28,Y
Safe-Apache,SM2,UM4,0.317310508,68,1,3,26,N
Safe-Apache,SM3,UM1,1.46E-08,34,1,35,28,Y
Safe-Apache,SM3,UM2,8.72E-09,34,1,36,27,Y
Safe-Apache,SM3,UM3,0.001701872,30,5,21,42,Y
Safe-Apache,SM3,UM4,5.22E-09,34,1,37,26,Y
Safe-Apache,SM4,UM1,0.008150972,69,7,0,22,Y
Safe-Apache,SM4,UM2,0.014305878,70,6,0,22,Y
Safe-Apache,SM4,UM3,1.50E-06,50,26,1,21,Y
Safe-Apache,SM4,UM4,0.025347319,71,5,0,22,Y
Safe-Apache,SM5,UM1,0.001565402,59,0,10,29,Y
Safe-Apache,SM5,UM2,0.000911119,59,0,11,28,Y
Safe-Apache,SM5,UM3,0.045500264,47,12,4,35,Y
Safe-Apache,SM5,UM4,0.000532006,59,0,12,27,Y
Safe-Apache,SM6,UM1,0.001340641,68,13,1,16,Y
Safe-Apache,SM6,UM2,0.002281937,69,12,1,16,Y
Safe-Apache,SM6,UM3,1.14E-07,50,31,1,16,Y
Safe-Apache,SM6,UM4,0.003892417,70,11,1,16,Y
Safe-Apache,SM7,UM1,0.014305878,69,6,0,23,Y
Safe-Apache,SM7,UM2,0.025347319,70,5,0,23,Y
Safe-Apache,SM7,UM3,2.52E-06,50,25,1,22,Y
Safe-Apache,SM7,UM4,0.157299207,69,6,2,21,N
Safe-Apache,SM8,UM1,0.157299207,69,2,0,27,N
Safe-Apache,SM8,UM2,0.317310508,70,1,0,27,N
Safe-Apache,SM8,UM3,2.01E-05,50,21,1,26,Y
Safe-Apache,SM8,UM4,1,69,2,2,25,N
Safe-Zxing,SM1,UM1,0.276302917,36,23,31,28,N
Safe-Zxing,SM1,UM2,0.001039363,49,10,31,28,Y
Safe-Zxing,SM1,UM3,0.789268026,30,29,27,32,N
Safe-Zxing,SM1,UM4,9.45E-05,51,8,33,26,Y
Safe-Zxing,SM2,UM1,0.018320735,36,15,31,36,Y
Safe-Zxing,SM2,UM2,9.76E-06,44,7,36,31,Y
Safe-Zxing,SM2,UM3,0.386476231,30,21,27,40,N
Safe-Zxing,SM2,UM4,2.55E-07,47,4,37,30,Y
Safe-Zxing,SM3,UM1,0.267257493,37,22,30,29,N
Safe-Zxing,SM3,UM2,0.001039363,49,10,31,28,Y
Safe-Zxing,SM3,UM3,0.781511295,32,27,25,34,N
Safe-Zxing,SM3,UM4,6.25E-05,52,7,32,27,Y
Safe-Zxing,SM4,UM1,2.10E-06,32,5,35,46,Y
Safe-Zxing,SM4,UM2,8.11E-10,34,3,46,35,Y
Safe-Zxing,SM4,UM3,0.000858121,29,8,28,53,Y
Safe-Zxing,SM4,UM4,4.66E-11,35,2,49,32,Y
Safe-Zxing,SM5,UM1,1.86E-06,34,4,33,47,Y
Safe-Zxing,SM5,UM2,5.73E-09,33,5,47,33,Y
Safe-Zxing,SM5,UM3,0.000643698,32,6,25,55,Y
Safe-Zxing,SM5,UM4,1.78E-10,35,3,49,31,Y
Safe-Zxing,SM6,UM1,3.28E-11,23,0,44,51,Y
Safe-Zxing,SM6,UM2,4.36E-14,23,0,57,38,Y
Safe-Zxing,SM6,UM3,5.51E-09,23,0,34,61,Y
Safe-Zxing,SM6,UM4,5.71E-15,23,0,61,34,Y
Safe-Zxing,SM7,UM1,1.89E-11,19,1,48,50,Y
Safe-Zxing,SM7,UM2,2.54E-14,19,1,61,37,Y
Safe-Zxing,SM7,UM3,1.68E-08,17,3,40,58,Y
Safe-Zxing,SM7,UM4,1.24E-15,20,0,64,34,Y
Safe-Zxing,SM8,UM1,2.42E-10,24,1,43,50,Y
Safe-Zxing,SM8,UM2,3.22E-13,24,1,56,37,Y
Safe-Zxing,SM8,UM3,7.90E-07,20,5,37,56,Y
Safe-Zxing,SM8,UM4,1.58E-14,25,0,59,34,Y
